=== Neural Cleanse Report ===
Timestamp: 2025年 08月 07日 星期四 10:19:22 CST

==> Running train_attack_blend_resnet_celeba_0.1_blend_no_smooth_epoch48.pt
Start time: 2025年 08月 07日 星期四 10:19:22 CST
using fraction:  1
[NC][t=5][r=2] step 300/800 | CE=0.0000 | L1=0.49054 | TV=0.00152
[NC][t=5][r=2] step 350/800 | CE=0.0000 | L1=0.48793 | TV=0.00154
[NC][t=5][r=2] step 400/800 | CE=0.0000 | L1=0.48509 | TV=0.00159
[NC][t=5][r=2] step 450/800 | CE=0.0000 | L1=0.48201 | TV=0.00164
[NC][t=5][r=2] step 500/800 | CE=0.0000 | L1=0.47872 | TV=0.00171
[NC][t=5][r=2] step 550/800 | CE=0.0000 | L1=0.47616 | TV=0.00177
[NC][t=5][r=2] step 600/800 | CE=0.0000 | L1=0.47578 | TV=0.00177
[NC][t=5][r=2] step 650/800 | CE=0.0000 | L1=0.47536 | TV=0.00178
[NC][t=5][r=2] step 700/800 | CE=0.0000 | L1=0.47490 | TV=0.00179
[NC][t=5][r=2] step 750/800 | CE=0.0000 | L1=0.47441 | TV=0.00181
[NC][t=5][r=2] step 800/800 | CE=0.0000 | L1=0.47387 | TV=0.00182
[NC][t=5] DONE | L1=0.470164 | TV=0.001877 | CE=0.0000
[NC][t=6][r=0] step 50/800 | CE=0.0000 | L1=0.49996 | TV=0.00213
[NC][t=6][r=0] step 100/800 | CE=0.0000 | L1=0.49895 | TV=0.00207
[NC][t=6][r=0] step 150/800 | CE=0.0000 | L1=0.49762 | TV=0.00201
[NC][t=6][r=0] step 200/800 | CE=0.0000 | L1=0.49602 | TV=0.00196
