=== Neural Cleanse Report ===
Timestamp: 2025年 08月 07日 星期四 18:37:00 CST

==> Running train_attack_square_resnet_celeba_0.1_square_no_smooth_epoch30.pt
Start time: 2025年 08月 07日 星期四 18:37:00 CST
using fraction:  1
[NC][t=5][r=1] step 750/800 | CE=0.0000 | L1=0.47268 | TV=0.00182
[NC][t=5][r=1] step 800/800 | CE=0.0000 | L1=0.47209 | TV=0.00183
[NC][t=5][r=2] step 50/800 | CE=0.0000 | L1=0.50005 | TV=0.00166
[NC][t=5][r=2] step 100/800 | CE=0.0000 | L1=0.49870 | TV=0.00162
[NC][t=5][r=2] step 150/800 | CE=0.0000 | L1=0.49697 | TV=0.00159
[NC][t=5][r=2] step 200/800 | CE=0.0000 | L1=0.49492 | TV=0.00158
[NC][t=5][r=2] step 250/800 | CE=0.0000 | L1=0.49259 | TV=0.00159
[NC][t=5][r=2] step 300/800 | CE=0.0000 | L1=0.49002 | TV=0.00163
[NC][t=5][r=2] step 350/800 | CE=0.0000 | L1=0.48722 | TV=0.00168
[NC][t=5][r=2] step 400/800 | CE=0.0000 | L1=0.48419 | TV=0.00175
[NC][t=5][r=2] step 450/800 | CE=0.0000 | L1=0.48093 | TV=0.00183
[NC][t=5][r=2] step 500/800 | CE=0.0000 | L1=0.47745 | TV=0.00193
[NC][t=5][r=2] step 550/800 | CE=0.0000 | L1=0.47477 | TV=0.00200
[NC][t=5][r=2] step 600/800 | CE=0.0000 | L1=0.47437 | TV=0.00202
[NC][t=5][r=2] step 650/800 | CE=0.0000 | L1=0.47393 | TV=0.00203
[NC][t=5][r=2] step 700/800 | CE=0.0000 | L1=0.47345 | TV=0.00204
[NC][t=5][r=2] step 750/800 | CE=0.0000 | L1=0.47294 | TV=0.00206
[NC][t=5][r=2] step 800/800 | CE=0.0000 | L1=0.47238 | TV=0.00208
[NC][t=5] DONE | L1=0.472092 | TV=0.001833 | CE=0.0000
[NC][t=6][r=0] step 50/800 | CE=0.0000 | L1=0.50036 | TV=0.00203
[NC][t=6][r=0] step 100/800 | CE=0.0000 | L1=0.49939 | TV=0.00198
[NC][t=6][r=0] step 150/800 | CE=0.0000 | L1=0.49810 | TV=0.00193
[NC][t=6][r=0] step 200/800 | CE=0.0000 | L1=0.49655 | TV=0.00188
